"filename", "language", "PHP", "comment", "blank", "total"
"d:\桌面\works_pro\app\AppService.php", "PHP", 13, 5, 5, 23
"d:\桌面\works_pro\app\BaseController.php", "PHP", 46, 38, 15, 99
"d:\桌面\works_pro\app\ExceptionHandle.php", "PHP", 28, 25, 6, 59
"d:\桌面\works_pro\app\Request.php", "PHP", 5, 1, 3, 9
"d:\桌面\works_pro\app\admin\controller\Account.php", "PHP", 66, 22, 20, 108
"d:\桌面\works_pro\app\admin\controller\Base.php", "PHP", 21, 7, 7, 35
"d:\桌面\works_pro\app\admin\controller\Classes.php", "PHP", 185, 30, 36, 251
"d:\桌面\works_pro\app\admin\controller\Home.php", "PHP", 55, 5, 13, 73
"d:\桌面\works_pro\app\admin\controller\Score.php", "PHP", 34, 5, 12, 51
"d:\桌面\works_pro\app\admin\controller\Stu.php", "PHP", 235, 31, 44, 310
"d:\桌面\works_pro\app\admin\controller\Work.php", "PHP", 139, 26, 41, 206
"d:\桌面\works_pro\app\admin\middleware.php", "PHP", 5, 7, 1, 13
"d:\桌面\works_pro\app\admin\middleware\Auth.php", "PHP", 27, 4, 12, 43
"d:\桌面\works_pro\app\admin\route\AccountRoute.php", "PHP", 5, 3, 2, 10
"d:\桌面\works_pro\app\admin\route\BaseRoute.php", "PHP", 3, 3, 2, 8
"d:\桌面\works_pro\app\admin\route\ClassesRoute.php", "PHP", 8, 4, 4, 16
"d:\桌面\works_pro\app\admin\route\HomeRoute.php", "PHP", 3, 3, 2, 8
"d:\桌面\works_pro\app\admin\route\ScoreRoute.php", "PHP", 3, 3, 2, 8
"d:\桌面\works_pro\app\admin\route\StuRoute.php", "PHP", 9, 3, 3, 15
"d:\桌面\works_pro\app\admin\route\WorkRoute.php", "PHP", 8, 3, 3, 14
"d:\桌面\works_pro\app\admin\view\account\login.php", "PHP", 109, 3, 7, 119
"d:\桌面\works_pro\app\admin\view\classes\add.php", "PHP", 97, 1, 6, 104
"d:\桌面\works_pro\app\admin\view\classes\edit.php", "PHP", 101, 1, 6, 108
"d:\桌面\works_pro\app\admin\view\classes\index.php", "PHP", 226, 6, 19, 251
"d:\桌面\works_pro\app\admin\view\classes\information.php", "PHP", 117, 0, 7, 124
"d:\桌面\works_pro\app\admin\view\home\index.php", "PHP", 76, 0, 3, 79
"d:\桌面\works_pro\app\admin\view\layout.php", "PHP", 82, 0, 10, 92
"d:\桌面\works_pro\app\admin\view\public\footer.php", "PHP", 51, 0, 2, 53
"d:\桌面\works_pro\app\admin\view\public\header.php", "PHP", 68, 2, 13, 83
"d:\桌面\works_pro\app\admin\view\score\index.php", "PHP", 59, 1, 3, 63
"d:\桌面\works_pro\app\admin\view\stu\add.php", "PHP", 75, 0, 6, 81
"d:\桌面\works_pro\app\admin\view\stu\edit.php", "PHP", 80, 0, 7, 87
"d:\桌面\works_pro\app\admin\view\stu\index.php", "PHP", 227, 10, 12, 249
"d:\桌面\works_pro\app\admin\view\stu\upfile_stu.php", "PHP", 64, 3, 6, 73
"d:\桌面\works_pro\app\admin\view\work\add.php", "PHP", 87, 2, 7, 96
"d:\桌面\works_pro\app\admin\view\work\detail.php", "PHP", 51, 0, 5, 56
"d:\桌面\works_pro\app\admin\view\work\edit.php", "PHP", 163, 2, 8, 173
"d:\桌面\works_pro\app\admin\view\work\index.php", "PHP", 103, 4, 11, 118
"d:\桌面\works_pro\app\common.php", "PHP", 38, 9, 4, 51
"d:\桌面\works_pro\app\common\business\admin\Account.php", "PHP", 85, 19, 22, 126
